101	Zambia	349304	0	4069	0	341316	0	3919	0	17940	209	4112961	211244	19470234
102	Kenya	344130	0	5689	0	337309	0	1132	0	6122	101	3967062	70569	56215221
103	Brunei	343469	0	225	0	243601	0	99643	0	771094	505	717784	1611437	445431
104	Albania	334863	0	3605	0	330233	0	1025	0	116825	1258	1941032	677173	2866374
105	Botswana	330635	0	2801	0	327049	0	785	1	135442	1147	2026898	830300	2441162
106	Montenegro	296539	+13	2846	0	291794	0	1899	0	472233	4532	2769281	4410034	627950
107	Algeria	272010	0	6881	0	183061	0	82068	0	5998	152	230960	5093	45350148
108	Nigeria	267188	0	3155	0	259953	0	4080	11	1233	15	5708974	26339	216746934
109	Zimbabwe	266359	0	5740	0	258888	0	1731	12	17373	374	2525756	164744	15331428
110	Uzbekistan	253662	0	1637	0	241486	0	10539	23	7378	48	1377915	40077	34382084
111	Afghanistan	233806	0	7996	0	210882	0	14928	0	5737	196	1366532	33531	40754388
112	Mozambique	233731	0	2250	0	228805	0	2676	11	7064	68	1371127	41437	33089461
113	Martinique	230354	0	1102	0	0	0	0	0	615777	2946	828928	2215870	374087
114	Laos	218966	0	758	0	0	0	0	0	29270	101	1233207	164845	7481023
115	Iceland	209906	0	229	0	0	0	0	0	607731	663	1996384	5780036	345393
116	Kyrgyzstan	206897	0	2991	0	196406	0	7500	131	30750	445	1907195	283460	6728271
117	Guadeloupe	203235	0	1021	0	0	0	0	0	508349	2554	938039	2346306	399794
118	ElSalvador	201855	0	4230	0	179410	0	18215	0	30816	646	2610114	398467	6550389
119	TrinidadandTobago	191496	0	4390	0	187078	0	28	0	136143	3121	913289	649295	1406585
120	Maldives	186694	0	316	0	163687	0	22691	25	345100	584	2213831	4092223	540985
121	Namibia	172389	0	4106	0	167099	0	1184	0	65451	1559	1062663	403460	2633874
122	Uganda	172149	0	3632	0	100431	0	68086	0	3554	75	3012408	62198	48432863
123	Ghana	171889	0	1462	0	170425	0	2	0	5306	45	2541625	78456	32395450
124	Jamaica	156869	0	3756	0	0	0	0	0	52551	1258	1183986	396633	2985094
125	Cambodia	139100	0	3056	0	136044	0	0	0	8102	178	3091420	180062	17168639
126	Rwanda	133518	0	1468	0	132039	0	11	0	9817	108	6021981	442778	13600464
127	Cameroon	125379	0	1974	0	123280	0	125	0	4492	71	1751774	62762	27911548
128	Malta	121420	0	885	0	120149	0	386	0	273448	1993	2170600	4888375	444033
129	Barbados	110575	0	648	0	108647	0	1280	0	383910	2250	814159	2826715	288023
130	Angola	107327	0	1937	0	103419	0	1971	0	3064	55	1499795	42818	35027343
131	ChannelIslands	101717	0	228	0	101321	0	168	0	576421	1292	1252808	7099551	176463
132	DRC	99338	0	1468	0	84489	0	13381	0	1043	15	846704	8890	95240792
133	FrenchGuiana	98041	0	420	0	11254	0	86367	6	312065	1337	651257	2072951	314169
134	Malawi	89535	0	2686	0	0	0	0	0	4437	133	624784	30959	20180839
135	Senegal	89053	0	1971	0	87024	0	58	0	5044	112	1146543	64946	17653671
136	IvoryCoast	88384	0	835	0	87497	0	52	0	3186	30	1690934	60951	27742298
137	Suriname	82588	0	1408	0	0	0	0	0	138378	2359	242207	405822	596831
138	NewCaledonia	80064	0	314	0	0	0	0	0	275214	1079	98964	340182	290915
139	FrenchPolynesia	79254	0	650	0	0	0	0	0	278902	2287	0	0	284164
140	Eswatini	75191	0	1427	0	73116	0	648	0	63462	1204	1048704	885119	1184817
141	Guyana	74137	0	1300	0	72013	0	824	0	93366	1637	733218	923396	794045
142	Belize	71381	0	688	0	0	0	0	0	173175	1669	576016	1397453	412190
143	Fiji	69117	0	885	0	67226	0	1006	0	75997	973	672883	739866	909466
144	Madagascar	68486	0	1426	0	66862	0	198	0	2347	49	531329	18210	29178077
145	CaboVerde	64477	0	417	0	63755	0	305	23	113580	735	401622	707482	567678
146	Sudan	63993	0	5046	0	58947	0	0	0	1391	110	562941	12240	45992020
147	Mauritania	63848	0	997	0	62471	0	380	0	13025	203	1009957	206030	4901981
148	Bhutan	62697	0	21	0	61564	0	1112	0	79571	27	2303734	2923739	787941
149	Syria	57743	0	3165	0	54578	0	0	0	2982	163	146269	7553	19364809
150	Burundi	54721	0	38	0	53569	0	1114	0	4334	3	345742	27386	12624840
151	Seychelles	51220	0	172	0	51048	0	0	0	515157	1730	0	0	99426
152	Gabon	49051	0	307	0	48674	0	70	0	21038	132	1621909	695641	2331533
153	Andorra	48015	0	165	0	0	0	0	0	619844	2130	249838	3225256	77463
154	PapuaNewGuinea	46864	0	670	0	46168	0	26	0	5043	72	249149	26813	9292169
155	Curaao	45986	0	295	0	44720	0	971	3	277812	1782	496693	3000640	165529
156	Aruba	44224	0	292	0	42438	0	1494	2	410969	2714	177885	1653068	107609
157	Tanzania	43223	0	846	0	0	0	0	0	683	13	0	0	63298550
158	Mauritius	43025	0	1051	0	41278	0	696	0	33752	824	358675	281374	1274727
159	Mayotte	42027	0	188	0	0	0	0	0	146815	657	176919	618038	286259
160	Togo	39572	0	290	0	39281	0	1	0	4559	33	815204	93908	8680837
161	Guinea	38572	0	468	0	37757	0	347	0	2782	34	660107	47607	13865691
162	Bahamas	38084	0	844	0	36366	0	874	1	95087	2107	257839	643767	400516
163	IsleofMan	38008	0	116	0	0	0	0	0	443335	1353	150753	1758422	85732
164	Lesotho	36138	0	723	0	25980	0	9435	0	16610	332	431221	198199	2175699
165	Haiti	34667	0	860	0	33734	0	73	0	2968	74	132422	11337	11680283
166	FaeroeIslands	34658	0	28	0	0	0	0	0	703959	569	778000	15802409	49233
167	Mali	33164	0	743	0	32332	0	89	0	1544	35	804909	37483	21473764
168	CaymanIslands	31472	0	37	0	8553	0	22882	1	467797	550	222773	3311280	67277
169	SaintLucia	30215	0	410	0	29805	0	0	0	163225	2215	210983	1139752	185113
170	Benin	28036	0	163	0	27847	0	26	0	2193	13	604310	47268	12784726
171	Macao	27673	+370	123	0	3487	0	24063	0	41458	184	7850	11760	667490
172	Somalia	27334	0	1361	0	13182	0	12791	0	1623	81	400466	23778	16841795
173	Micronesia	26547	0	65	0	0	0	0	0	225953	553	82430	701598	117489
174	SanMarino	26185	0	128	0	26011	0	46	0	768226	3755	196855	5775414	34085
175	SolomonIslands	25954	0	199	0	0	0	0	0	35989	276	0	0	721159
176	Congo	25375	0	386	0	24006	0	983	0	4377	67	347815	59991	5797805
177	TimorLeste	23460	0	138	0	23102	0	220	0	17131	101	278529	203391	1369429
178	BurkinaFaso	22109	0	400	0	21596	0	113	0	1000	18	248995	11265	22102838
179	Liechtenstein	21574	0	94	0	0	0	0	0	562013	2449	112457	2929559	38387
180	Gibraltar	20550	0	113	0	0	0	0	0	609720	3353	534283	15852213	33704
181	Grenada	19693	0	238	0	19358	0	97	4	173545	2097	182981	1612523	113475
182	Bermuda	18860	0	165	0	18685	0	10	0	304493	2664	1029558	16622128	61939
183	SouthSudan	18819	0	147	0	18115	0	557	1	1620	13	410280	35313	11618511
184	Nicaragua	18491	0	225	0	4225	0	14041	0	2728	33	0	0	6779100
185	Tajikistan	17786	0	125	0	17264	0	397	0	1786	13	0	0	9957464
186	EquatorialGuinea	17229	0	183	0	16907	0	139	5	11512	122	365697	244342	1496662
187	Monaco	17181	0	67	0	0	0	0	0	431868	1684	78646	1976875	39783
188	Samoa	17006	0	31	0	1605	0	15370	0	84089	153	187397	926612	202239
189	Tonga	16950	0	13	0	15638	0	1299	0	157310	121	535009	4965327	107749
190	MarshallIslands	16138	0	17	0	16121	0	0	0	268711	283	0	0	60057
191	Dominica	16038	0	74	0	15964	0	0	0	221691	1023	229344	3170187	72344
